方剂名称,方剂药物组成,主治,功效,日期,时间,备注：表格中不可出现合并单元格，不可出现特殊字符，否则将导致数据表无法正常展示。数据请填写在有相应列名的下方，无列名的区域内的数据将无法入库。时间格式填写时请选择正确的单元格格式：日期，具体时间格式请按照XXXX/XX/XX XX:XX书写，否则将无法入库。（为保障您上传的数据顺利入库，请选择2007及以上版本的office软件操作）
通关散,细辛（洗去土叶）1钱，猪牙皂角（去子）1钱（1方有半夏1钱）。,卒中风邪，昏闷不醒，牙关紧闭，汤水不下。小儿急惊风。,,2021/5/19,2021/5/19 15:00,
通关散,旌德乌头4两（破皮，旌德有芦头肌白者），藁本半两，防风半两，当归半两，白芷半两，天南星半两，川芎半两，干姜半两，雄黄（细研）半两，桂半两（并生，勿近火）。,诸中风伤寒。,,2021/5/19,2021/5/19 15:00,
通灵散,人参、附子（炮）、熟地黄、木香（煨）、白术、干姜、牡丹皮、白芍药、陈皮（去白）、薯蓣、黄耆（蜜炙）、甘草（炙）、芎藭各等分（1方无人参）。,曾因子宫久冷，血海虚羸，致令妊娠2-3月，胎动不安，下血腹痛而胎堕者。,养胎。,2021/5/19,2021/5/19 15:00,
调中散,人参（去芦）、白茯苓、木香（炮）、白术、甘草（炙）、干姜（炮）、藿香叶、缩砂仁、香附子、丁香各等分。,脾胃不和。饮食过度，胸膈不利，呕吐吞酸，腹胀肚疼。,,2021/5/19,2021/5/19 15:00,
通肠解毒汤,生甘草1两，大黄1两，金银花1两。,因服断肠草，初则胸前隐隐作疼，久则气不能通，及至腹痛，大小便俱不能出。,解毒通利。,2021/5/19,2021/5/19 15:00,
调元生脉散,黄芩、人参、麦门冬、甘草、五味子。,小儿伤暑发热，身热，自汗，作渴，昏睡，手足冷。,,2021/5/19,2021/5/19 15:00,
调元养荣丸,当归88两，熟地8两，白术（炒）8两，白芍8两，川芎6两，茯苓8两，枣仁（炒）4两，甘草2两，天冬5两4钱，山萸肉（炙）4两，玄胡（炙）3两，藁本3两，青蒿3两，鸡冠花3两，香附（炙）16两，阿胶（炒珠）12两，黄芩5两，砂仁4两，生地8两，祁艾炭4两，牛膝4两6钱，没药（炙）4两，乳香（炙）3两，红花3两，藏红花2两，柴胡3两，苏叶3两，石脂（煅）3两，沉香1两，青毛茸（去毛）12两，秦艽4两，鳖甲（炙）4两，杜仲炭4两，续断4两，琥珀2两，橘红4两，橘皮12两，人参（去芦）6钱，龟板（炙）4两，泽泻4两，木香1两，红曲32两，川牛膝4两。,妇女气虚血亏，行经腹痛，经期不准，腰膝无力。,调元补气，和血养荣。,2021/5/19,2021/5/19 15:00,
起死回生丹,丁香9枚，干姜1钱。,痘疹。寒气逆上，身凉，痘色灰白塌陷，不食腹胀，呕吐，泄泻清水，肚腹疼痛，手足俱冷。,,2021/5/19,2021/5/19 15:00,
起死轻骨膏,麻黄（去根节）5斤（河水二石熬成膏），桑白皮（土下者佳）2两，川芎2两，白芷2两，苍术（去皮）2两，甘松（只用腿子）2两，苦参3两半。,中风瘫痪，四肢不随，风痹，及小儿惊风。,,2021/5/19,2021/5/19 15:00,
调水愈通散,青皮、陈皮、三棱、蓬术、厚朴、半夏、桔梗、甘草、藿香、益智、官桂、香附。,寒热经事不通，呕吐咳嗽，中脘不时疼痛。,,2021/5/19,2021/5/19 15:00,
起枕散,当归3钱，白芍（酒炒）3钱，川芎2钱，白芷1钱，官桂1钱，蒲黄1钱，牡丹皮1钱，玄胡索1钱，五灵脂1钱，没药1钱。,产后心腹痛，恶血不行，或儿枕作痛，甚危。,,2021/5/19,2021/5/19 15:00,
起陷神丹,人参1两，白芍5钱，当归1两，麦冬1两，白术1两，肉桂2钱，附子1钱，熟地2两，北五味3钱，山药5钱。,夏生背痈，疮口不起，脉大无力，发热作渴，自汗盗汗，用参耆补剂，益加手足逆冷，大便不实，喘促呕吐，阴症似阳者。,,2021/5/19,2021/5/19 15:00,
调肝散,当归、生地、白芍药、川芎、柴胡、山栀、黄芩、广皮、甘草。,肝虚劳伤，筋挛烦闷，眼目赤涩，毛焦色夭，腹痛，指甲痛，咳则胁下痛，口苦口酸，筋骨痠疼，寒热咳逆，肝血不足而有火者。,,2021/5/19,2021/5/19 15:00,
起痿至神汤,熟地1两，玄参1两，山药1两，菊花1两，当归5钱，白芍5钱，人参5钱，神曲2钱，白芥子3钱。,痿证。两足无力，不能起立而口健饭，少饥即头面皆热，咳嗽不已。,泻阳明、补肾水、生肝血、健脾气、消痰涎。,2021/5/19,2021/5/19 15:00,
调经丸,香附（炙）200两，阿胶（炒）100两，熟地100两，川芎50两，白术（炒）75两，橘皮50两，茯苓50两，当归75两，白芍75两，麦冬50两，法半夏50两，川断50两，丹皮50两，玄胡索（醋炙）25两，没药（炙）26两，益母草100两，吴茱萸（炙）25两，小茴香（炒）25两，甘草15两，黄芩50两，艾叶（炒炭）50两。,经血不调，行经腹痛，气滞血凝。,理气调经，止痛散瘀。,2021/5/19,2021/5/19 15:00,
调经丸,三棱1两，蓬术1两，川归1两，白芍1两，生地1两，熟地1两，玄胡1两，白茯苓1两，川芎8钱，砂仁8钱，乌药8钱，香附1两2钱，大茴香2两，小茴香2两。,妇人血气皆虚，月经前期，色如猪肝水，五心作热，腰痛，小腹痛，面色痿黄，不思饮食。,,2021/5/19,2021/5/19 15:00,
调经丸,当归1两，陈皮1两，白芷1两，牛膝1两，三棱1两，蓬术（醋制）1两，玄胡索1两，白术1两5钱，川芎1两5钱，枳壳1两5钱，小茴香1两5钱，熟地1两5钱，香附2两，粉草5钱。,室女17-18岁，脾胃虚弱，误食生冷，经脉不通，或阻百日，或半年，颜色青黄，饮食少进，寒热往来，四肢困倦，头痛目弦，肚腹疼痛，五心烦热，呕吐膨胀。,补气血，扶脾胃，调经水。,2021/5/19,2021/5/19 15:00,
逍遥散,麦门冬2钱5分，当归4钱，白芍4钱，柴胡4钱，黄芩3钱，川芎3钱，熟地3钱，半夏2钱5分，甘草1钱5分。,室女17-18岁时脾胃虚弱，误食生冷，经脉不通，或阻百日，或半年，颜色有异，饮食少进，寒热往来，四肢困倦，头疼目眩，腹疼恶心，烦热呕吐，腹胀。,补血，扶脾胃，调经水。,2021/5/19,2021/5/19 15:00,
逍遥散,白芍、白术、白茯、归身、甘草、薄荷。,妇人血少，月水不调，腹痛潮热。,,2021/5/19,2021/5/19 15:00,
调经回春膏,当归3两，生地1两，肉桂（去粗皮）1两，厚朴1两，全蝎1两，白芷1两，玄胡1两，防风1两，蓖麻子1两，杏仁1两，花粉1两，白芍1两，黄柏1两，玄参（去芦）1两，草乌1两，乌药1两，川芎1两，丹参1两，丝瓜络1两，细辛5钱，独活5钱，羌活5钱，枳实5钱，山甲6钱，桃仁6钱，三棱6钱，莪术6钱，红花6钱，牛膝6钱，黄连8钱，猪牙皂8钱，槟榔8钱，大黄1两4钱，川乌1两4钱，木香1两4钱，香附2两，益母草2两，熟地2两。上药酌于碎断，用香油320两炸枯，过滤去滓，炼至滴水成珠，春用黄丹138两，秋用黄丹136两，搅匀成膏，取出放入冷水中，出火毒后，加热熔化，兑细料粉：丁香7钱，干姜2钱，阿魏1钱，乳香2钱，没药2钱，血竭2钱，肉桂（去粗皮）4两，冰片6钱，麝香2钱。,月经不调，血色不正，瘀血结块，胁胀腹痛。,理气通经，化瘀止痛。,2021/5/19,2021/5/19 15:00,
调经汤,泽兰叶3钱，熟地1钱半，当归1钱半，川芎1钱半（炒），川楝子1钱（炒），白芍1钱半（炒），元胡1钱（炒），槟榔1钱，木香5分，小茴香1钱（炒），焦楂1钱半，砂仁5分（炒），青皮8分（炒），生草1钱。,妇女一切月经不调，或前或后，或多或少，或经后腹痛，或呕吐，或发烧，或血痨，或久不生育，或室女经来腹痛。,,2021/5/19,2021/5/19 15:00,
逍遥散,当归（酒洗）1钱5分，白芍（酒炒）1钱，柴胡1钱，黄芩1钱，川芎7分，熟地黄7分，半夏（姜炒）7分，人参5分，麦门冬（去心）5分，甘草4分。,室女17-18岁，脾胃受伤，气血俱弱，误食生冷，经脉不通，或百日或半年，颜色青黄，饮食少进，寒热往来，四肢困倦，头疼目弦，肚疼结块，五心烦热，呕吐膨胀。,和气血，扶脾胃。,2021/5/19,2021/5/19 15:00,
调经至宝汤,当归3钱，白芍药（酒炒）2钱，熟地黄2钱，川芎2钱，人参1钱，吴茱萸（炒）1钱，丹皮1钱，半夏（制）1钱，阿胶1钱，麦冬1钱5分，肉桂5分。,赤白带下，崩漏淋沥，恶寒发热，口渴，腹痛，小腹急疼，五心烦热，久不成孕。,,2021/5/19,2021/5/19 15:00,
透风气散,细辛1分，藿香1分，干蝎1分，羌活1分，白花蛇（酒浸1昼夜，非时用酒慢火上炙黄熟，去骨不用，只用肉）1分，独活1分，附子（炮，去皮）1分，天麻1分，牛膝1分，海桐皮1分，官桂（去皮）1分，豆蔻1分，半夏4铢，麝香1铢，麻黄（去节）半两，僵蚕3铢（去丝）。,寒风所中，闷倒不知人事；中风时，涎少或无涎。,,2021/5/19,2021/5/19 15:00,
透关丸,大蒜（端午日取，去皮膜，净用）100瓣（细切，捣烂），朱砂1分（细研，水飞），蝎梢35枚（去毒，微炒，为末），细松烟墨1两（火煅过，研为末），巴豆100粒（去壳，不出油，研）。,小儿脾胃挟伤，中满哽气；及伏热生涎，霍乱呕吐；或作食痢，手足搐搦，不省人事。,,2021/5/19,2021/5/19 15:00,
调经种子第一神方,淡吴萸1钱半（平时腹不痛，兼之火旺者，减去5分，体寒腹痛者加5分），全当归2-3钱，正川芎1钱半，杭白芍2钱（酒炒），嫩桂枝（手足常冷兼之麻痹者，用桂尖，否则用桂枝心，火旺者用1钱，火衰者用1钱半，冬月或用2钱），真阿胶2钱（水酒另炖冲），法半夏2钱（体寒痰多者，加5分或加1钱，痰少而口常干者，减1钱，加淡条芩1钱半），台党参1钱半（津液不足，口常干苦，素体火旺者，以洁洋参2钱代之），粉丹皮1钱半（血热者用2钱），拣寸冬4钱（常时口干，唇舌红赤者，用5钱，并加生地2钱），炙甘草1钱半（胸腹胀满者减去，加四制香附1钱5分），淡生姜（切薄片）1钱半（体寒痰多易呕者，用2钱，暑月少减）。,妇人上热下寒，心中发热，少腹常痛，经寒久不受胎，经水紫黑稀少，或过期不至，两尺迟涩，两寸关洪大或弦数，或腰腹胀痛，或经行干呕。,,2021/5/19,2021/5/19 15:00,
调经柴胡汤,柴胡1钱，黄芩1钱，人参1钱，甘草1钱，大黄1钱，当归1钱，白芍1钱。,目逐积热，口干烦躁，喘，咳嗽。,,2021/5/19,2021/5/19 15:00,
透罗丹,皂角（酥炙，去皮弦）1两，黑牵牛（炒）1两，半夏1两，大黄（湿纸包，煨，焙）1两，杏仁（去皮尖，麸炒）1两，巴豆1钱（去油，另研）。,痰实咳嗽，胸肺不利。,下痰。,2021/5/19,2021/5/19 15:00,
匏七,柴胡、连翘、山楂、萝卜子、红花、荆芥、花粉、枳实，酒制大黄2钱。,痧症类伤寒。头痛，恶寒发热，心胸烦闷，口渴咽干，头汗如雨，痰喘面黑，十指头俱有黑色，气口脉虚，时或歇指，左手三部，洪数无伦。,,2021/5/19,2021/5/19 15:00,
培坤丸,炙黄耆3斤，白术3斤，炙草8两，广陈皮2斤，当归5斤，川芎1斤，杭芍1斤，拣砂仁9两，北沙参1斤，云茯苓2斤，枣仁2斤，寸冬2斤，杜仲（炒）2斤，核桃仁1斤4两，芦巴子2斤8两，醋炒艾叶1斤，元肉2斤，山药2斤，远志肉4两，熟地黄4斤，五味子8两，酥油4两。,妇人月经不调，赤白带下，子宫炎，身困肢懒，腹痛肢冷各症。,,2021/5/19,2021/5/19 15:00,
通宣理肺丸,紫苏叶144两，黄芩96两，枳壳（炒）96两，甘草72两，橘皮96两，桔梗96两，茯苓96两，杏仁（去皮，炒）72两，前胡96两，麻黄96两，法半夏（炙）72两。,外感咳嗽，发热恶寒，头痛无汗，四肢痠懒，鼻流清涕。,解热止嗽。,2021/5/19,2021/5/19 15:00,
通宣理肺丸,人参5钱，苏叶1两，葛根6钱2分5厘，半夏5钱（炙），陈皮7钱5分，前胡7钱5分，茯苓5钱，枳壳7钱5分（炒），桔梗1两，甘草2钱5分，木香1钱8分7厘5毫，麻黄6钱2分5厘。,感冒风寒所致之发热恶寒，鼻塞不通，头痛无汗，四肢痠懒作疼。,解热止嗽。,2021/5/19,2021/5/19 15:00,
清心汤,防风通圣散加黄连5钱。,疮疡肿痛，发热饮冷，睡语不宁，脉沉实。,,2021/5/19,2021/5/19 15:00,
清心汤,黄连1钱2分，五味子9粒，麦门冬1钱，当归1钱，生地1钱，犀角1钱。,心血不足，发热无时，两颊忽赤，口苦作渴。,,2021/5/19,2021/5/19 15:00,
培气汤,人参1两，黄耆1两，焦术1两，茯苓5钱，附子3钱，半夏2钱，白芥2钱，菖蒲1钱。,中风无热。忽然卒倒，不知人事，口中痰声作响。,,2021/5/19,2021/5/19 15:00,
通顶吹鼻散,黎芦1分（去芦头），瓜蒂3分，马牙消3分，龙脑半钱（研），麝香半钱（研）。,伤寒头痛不止。,,2021/5/19,2021/5/19 15:00,
通顶散,藜芦、甘草、人参、川芎、石膏。,中风卒仆及诸昏厥不省之候。,激嚏。,2021/5/19,2021/5/19 15:00,
通顶散,石膏1钱，川芎1钱，赤小豆1钱，瓜蒂1钱，藜芦少许。,风头痛。,,2021/5/19,2021/5/19 15:00,
通神散,藜芦2钱（去芦），川芎2钱半，谷精草4钱，石菖蒲4钱，东平薄荷4钱，顽荆叶4钱。,阴证及中风，不省人事。,,2021/5/19,2021/5/19 15:00,
常山丸,常山2两，赤茯苓（去黑皮）2两，黄芩（去黑心）2两，香豉（炒干）2合。,温疟发热，身背皆黄，小便不利。,,2021/5/19,2021/5/19 15:00,
通脉四逆汤,附子、干姜、广皮、甘草、葱白头。,真阳欲脱，腹痛，下利厥冷，脉伏。,,2021/5/19,2021/5/19 15:00,
密陀僧丸,密阳僧1两，藜芦半两（为末）。,妇人中风，痰涎壅滞，吐涎。,,2021/5/19,2021/5/19 15:00,
通神散,乌蛇（去皮骨，酒浸，炙）1两，踯躅花（酒浸，炒）1两，蝉蜕（生用）1两，天南星（生姜汁浸，炒干）1两，麻黄（去根节）1两，天麻（酒浸，炙）1两，牛膝（酒浸，切，焙）1两，防己（锉）1两，羌活（去芦头）1两，独活（去芦头）1两，石斛（去根，酒浸，炒）1两，地龙（去土，生用）1两，桂（去粗皮）1两，皂荚（去皮子，酒浸，炒）1两，干蝎（生用）1两，附子（炮裂，去皮脐）1两，白附子（半生半炮）1两，乌头（炮裂，去皮脐）1两，丹砂（别研）1两，麝香（别研）半分。,中风昏愦，肢体不收，不以缓急。,,2021/5/19,2021/5/19 15:00,
通神散,麻黄（去根节）3分，官桂（去粗皮）3分，甘草1分（炙），大芎1两，白术1两，细辛8铢，独活半两，桔梗半两，防风半两，芍药半两，白芷半两，牡丹皮（去心）、牵牛4铢（炒）。,毒痢。初得时先发寒热，忽头痛，忽壮热，忽转数行便下赤痢，忽赤白相杂，忽止下白痢，或先下白痢后变成赤痢，或先下赤痢后变成白痢。,,2021/5/19,2021/5/19 15:00,
通神散,乱发1两（烧灰），桂心1两。,小儿中风，失音不语，诸药无效。,,2021/5/19,2021/5/19 15:00,
通明补肾丸,车前子1两，石决明1两，桔梗1两，芍药1两，细辛2两，大黄1分，茺蔚子2两，干地黄2两。,五风变内障。因脏腑虚劳，肝风为本，初患之时，头旋偏痛，或一眼先患，或因呕吐双暗，毒风入眼，兼脑热相侵，致令眼目失明。,,2021/5/19,2021/5/19 15:00,
通明补肾丸,楮实子1两，五味子1两，枸杞子1两，人参1两，菟丝子1两，肉苁蓉1两，菊花1两，熟地黄1两，当归1两，牛膝1两，知母1两，黄柏1两，青盐1两。,玉翳遮睛。因肝入脑，肝膈积热，久则肾虚，致眼中发热或赤痛，初起红肿赤脉穿睛，渐生白翳，久则成片遮瞒乌睛，凝结如玉色。,,2021/5/19,2021/5/19 15:00,
通明赤丸,乌蛇（去头骨并皮）1两，麻黄（去根节）1两，白僵蚕1两，白附子（生用）半两，半夏（汤洗去滑）半两，干蝎（去土）半两，干姜（炮）半两，天南星半两，附子（去皮脐）半两，麝香（研）1分。,中风瘫痪，并柔风，一切风疾。,,2021/5/19,2021/5/19 15:00,
通经丸,桂心（不见火）、青皮（去白）、大黄（炮）、干姜（炮）、川椒（去目并合口，微炒，地上出汗）、蓬莪术、川乌（炮，去皮尖）、干漆（炒令烟出）、当归（洗，去芦，薄切，焙干）、桃仁（去皮尖，炒）各等分。,经闭腹痛，血瘕，妊娠腹痛，吐血。妇人室女月候不通，疼痛，或成血瘕。怀妊3-4个月，头晕腹痛，不能饮食，日渐羸瘦。,去故生新，调理经闭。,2021/5/19,2021/5/19 15:00,
通乳散结汤,全瓜蒌4钱，青皮3钱，丝瓜络5钱，桔络3钱，通草3钱，桔叶10片，郁金2钱，刺蒺藜3钱，蒲公英5钱。,乳结属肝郁气滞证。乳汁停滞不畅，以致乳房硬满胀痛，甚或肿红，时有恶寒发热，舌淡苔白，脉弦数。,舒肝解郁，通络散结。,2021/5/19,2021/5/19 15:00,
通宣理肺丸,苏叶1斤，麻黄6两，生石膏2两，甘草2斤，枳壳（麸炒）8两，杏仁（去皮，炒）6两，桔梗6两，制半夏6两，冬花3两，葛根4两，前胡12两，生桑皮8两，广皮4两，浙贝母3两，百合4两。,感冒风寒引起的咳嗽气喘，发烧头疼，鼻塞不通，周身作疼。,发汗解表，清肺化痰。,2021/5/19,2021/5/19 15:00,
通经散,陈皮（去白）1两，当归1两，甘遂（以面包，不令透水，煮100余沸，取出，用冷水浸过，去面焙干）。,落马堕井，打扑闪肭损折，汤沃火烧，车碾大伤，肿发焮痛，日夜号泣不止；或膝踝肘腕大痛，腰胯胁痛；或腰痛气刺，不能转侧，不能出气，不食；或膝被肭破行，行则痛数日。卒疝，赤肿大痛，数日不止；寒疝，脐下结聚如黄瓜，每发绕腰急痛不能忍。贲豚。风寒湿三气，合而为痹，及手足麻木不仁。蛇虫所伤；或为犬所啮，胫肿如罐，坚若铁石，毒气入里，呕不下食，头痛而重。风水，喘不能食，遍身皆肿；或浑身肿绕，阴器皆肿，大小便如常，其脉浮而大。项疮，状如白头，根红硬，疼痛不可忍，项肿及头，口发狂言，如见鬼神。代指，痛不可忍。痰隔，咽中如物塞，食不下，中满。嗽血，目赤多泪。经水不行，寒热往来，面色萎黄，唇焦颊赤，时咳三两声。黄疸，面黄如金，遍身浮肿，乏力，惟食盐与焦物；或脾疸，湿热与宿谷相搏，善食而瘦，四肢不举，面黄无力。黄病，遍身浮肿，面如金色，困乏无力，不思饮饵，惟喜食生物泥煤之属。收产伤胎，经脉断闭，腹如刀剜，大渴不止，小溲闷绝，口舌枯燥，牙齿黧黑，臭不可闻，食饮不下，昏愦欲死。肥气积，初如酒杯，大发寒热，15余年后，因性急悲感，病益甚，唯心下三指许无病，满腹如石片，不能坐卧。积气20年，视物不真，细字不睹，当心如顽石，每发痛不可忍，食减肉消，黑（黑干）满面，腰不能直。伤寒瘀血，心胸痞闷，不欲饮食，身体壮热，口燥舌干，小便赤色，大便色黑。,下水湿。,2021/5/19,2021/5/19 15:00,
通经散,刘寄奴2钱，当归尾1两，穿山甲（炒）1两，赤芍1两，红花1两，玄胡索1两，莪术（醋炒）1两，乌药（炒）1两，牡丹皮（酒洗）1两，川牛膝（酒洗）1两，三棱1两（醋炒），官桂3钱，辰砂（另研）3钱。,室女经团，血瘀腹痛，攻刺小腹，坚硬成块。,,2021/5/19,2021/5/19 15:00,
通苓散,麦门冬、淡竹叶、车前草、赤茯苓、木通。,伤湿咳嗽，汗后。,利湿清肺。,2021/5/19,2021/5/19 15:00,
通经甘露丸,当归4两，桃仁（去皮）4两，大黄4两，丹皮4两，干漆（煅）4两，肉桂（去粗皮）4两，牛膝4两，三棱（炒）5钱，莪术（醋炙）1两，红花4两。,妇人月经不通，少腹胀痛，午后发热。,化瘀通经。,2021/5/19,2021/5/19 15:00,
通经汤,当归8分，川芎8分，柴胡8分，黄芩8分，白芍8分，香附1钱2分，青皮4分，砂仁4分，甘草4分，熟地5分，白术（蜜炙）5分，陈皮5分，枳壳（麸炒）5分，小茴（炒）5分，三棱5分，莪术5分，红花5分，白芷6分，肉桂3分。,室女15-16岁，误食生冷，经水不通，日夜寒热，手足麻痹，头痛，恶心呕吐，暖中忽然结块冲痛。,,2021/5/19,2021/5/19 15:00,
酒煎附子四神丹,水窟雄黄半斤，雌黄半斤，辰砂半斤，透明硫黄半斤（上别研水飞过，渗干，再同研匀。用烧药盒子1个，看大小用。临时先以牡丹根皮，烧烟熏盒子，令酽烟气黑黄色，入前四物在内，约留药盒子口下及1指，以醋调腊茶作饼子盖定，与盒子口缝平，用赤石脂泥固济盒子，用盒盖子盖之，令严，却用纸筋盐泥通裹盒子，固济约厚1寸，放令极干。初用炭火烧热，次加少火烧合通赤，常约令火5斤以来，渐渐添火气，小却添至5斤以来，照顾勿令炭厚薄不一，可添至三秤得济，去火渐令冷，入在地坑内，深1尺以上，用好黄土盖之。候3日取出，打破盒子，取药研细，约30两。）别入：胡椒末7两，荜茇末7两，真赤石脂末3两，好官桂心末6两，附子（及6钱以上者，炮，去皮脐，取末）12两。,小儿慢惊，一切虚冷之疾。五脏亏损，下虚上壅，胸中痰饮，脐腹冷积，奔豚气冲，上下循环，攻刺疼痛，脾寒冷汗，中风痿痹，精神昏乱，霍乱吐泻，手足逆冷，阴毒伤寒，四肢厥逆，形寒恶风，向暗睡卧，乍寒乍乱。妇人产后诸疾，血气逆潮，迷闷欲绝，赤白带下，崩漏不止。,升降阴阳，顺正祛邪，消风冷痰涎，散结伏滞气，通利关节，破瘀败凝涩奔冲失经之血，接助真气，生续脉息，补肾经不足，和膀胱小肠，秘精固气，定喘止逆，压烦燥，养胃气。,2021/5/19,2021/5/19 15:00,
通幽汤,生地黄、熟地黄、当归梢、大黄（酒浸，煨）、桃仁泥、红花、升麻。,结燥腹痛。,,2021/5/19,2021/5/19 15:00,
通神散,麻黄1两（去根节），厚朴1两（去粗皮，涂生姜汁，炙令香熟），川大黄1两（锉碎，微炒），附子1两（炮裂，去皮脐），甘草半两（炙微赤，锉），白术半两，人参半两（去芦头），五味子半两，桂心半两。,伤寒，头痛壮热，心胸燥闷，不得汗者。,,2021/5/19,2021/5/19 15:00,
通顶散,黄踯躅1分（为末），雄黄1分（研，飞），北细辛半两（为末）。,初中风，口噤，不省人事，或伤风头疼昏眩。,,2021/5/19,2021/5/19 15:00,
通顶散,干姜半两，香白芷半两，蒿角子1钱。,偏正头痛不可忍，诸药无效，及赤眼、牙痛。,,2021/5/19,2021/5/19 15:00,
通顶散,龙脑（研）、地龙（去土，炒）、瓜蒂、赤小豆（炒）、马牙消（研）各等分。,风头痛、偏正头痛，不可忍者。,,2021/5/19,2021/5/19 15:00,
通顶散,藜芦（研）半两，黄连（去须）3分。,头痛，鼻塞，胸闷。,,2021/5/19,2021/5/19 15:00,
通顶散,马牙消（研细）半两，地黄汁1合。,鼻塞及风痰头痛。,,2021/5/19,2021/5/19 15:00,
通顶散,藜芦1钱，生甘草1钱，川芎1钱，细辛1钱，人参1钱。,中风、中气，昏愦不知人事者。,,2021/5/19,2021/5/19 15:00,
通顶散,藜芦1钱，生甘草1钱，人参1钱，川芎1钱，细辛1钱，石膏5钱。,初中风，不知人事，口噤不能开者。,,2021/5/19,2021/5/19 15:00,
通脉化痰饮,童便1小盏，姜汁1匙。,中风暑毒，一切恶毒，干霍乱卒暴之症。,,2021/5/19,2021/5/19 15:00,
通脉四逆加芍药汤,甘草6钱2字半，附子（大者）1枚，干姜1两，芍药6钱2字半。,少阴腹痛，或泄利下重。,,2021/5/19,2021/5/19 15:00,
通脉四逆汤,吴茱萸（炒）2两，附子（炮，去皮脐）1两，桂心半两（去皮，不见火），细辛半两（洗，去叶土），白芍药半两，甘草（炙）半两，当归（去芦）3钱。,霍乱恶寒，腹痛身冷，自汗，脉沉微如欲绝。,,2021/5/19,2021/5/19 15:00,
铁刷汤,附子5枚（炮令微裂，地上以盏子覆冷，取去皮脐），半夏（汤洗7遍去滑，切，鼓炒）1两，木香半两。,风痰，胃中有寒，呕吐痰涎，胸满气逆。,,2021/5/19,2021/5/19 15:00,
铁刷汤,半夏4钱（洗），草豆蔻3分，丁香3分，干姜（炮）3分，诃子皮3分，生姜1两。,积寒痰饮，呕吐不止，胸膈不快，不下饮食。,,2021/5/19,2021/5/19 15:00,
铁粉牛黄丸,铁粉（再研，水飞过，焙干）2两，辰砂（别研，水飞极细，焙干）1两，天竺黄1分（别研极细），牛黄半两（细研，加至1两），铅白霜1分（别细研）。,心经留热，中风太过，虽不涎潮厥倒，渐觉四肢不举，语涩面青，精神昏浊，形似醉人，日深瘫拽。,化风痰，止心忪悸。,2021/5/19,2021/5/19 15:00,
高丽清心丸,寒水石1两，生石膏1两，黄芩1两，甘草1两，知母1两，黄柏1两，滑石1两，大黄1两，山栀1两，黄连5钱，朱砂5钱，雄黄5钱，冰片1钱，牛黄1钱。,头痛齿痛，齿龈肿痛，唇焦口臭，暴发火眼，结膜肿痛，吐血鼻衄，头热眩晕，便秘尿赤，鼻干耳鸣，以及小儿疹后毒热不净，牙疳。,消炎缓泻。,2021/5/19,2021/5/19 15:00,
通窍活血汤,赤芍1钱，川芎1钱，桃仁3钱（研泥），红花3钱，老葱3根（切碎），鲜姜3钱（切碎），红枣7个（去核），麝香5厘（绢包）。,血瘀所致的脱发，暴发火眼，酒糟鼻，耳聋，白癜风，紫癜风，牙疳，男女劳病，小儿疳证，头痛，骨膊胸膈顽硬刺痛，中风。,活血祛瘀，通络止痛，芳香开窍。,2021/5/19,2021/5/19 15:00,
通窍散,黄丹5钱（水飞），轻粉3钱，珍珠1颗。,痘后害目症（痘疹性结角膜炎），两目赤胀，热泪常流，怕光羞明，风轮周围点点而起白膜，但不头痛。,退翳。,2021/5/19,2021/5/19 15:00,
通脑散,川芎3钱，当归3钱，茯苓3钱，桔梗2钱，蔓荆子5分，白芷5分，人参1钱，半夏1钱。,春温，伤风头痛，发热盗汗，畏风。,,2021/5/19,2021/5/19 15:00,
陷坚散,杏仁1升（去皮尖）。,食狗肉不消，心腹胀急，发热多语。,,2021/5/19,2021/5/19 15:00,
通壅汤,桔梗、白及、橘红、贝母、甜葶苈、苡仁、甘草节、金银花。,肺痈，咳嗽吐脓血，咳引胸中痛。,,2021/5/19,2021/5/19 15:00,
